StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
197,18.0,Male,74.0,39,80,36,10,Yes,Yes,Graduate,74.38
987,16.0,Male,98.0,1,60,76,4,No,Yes,Graduate,64.12
1091,21.0,Male,,37,45,39,5,No,No,,51.62
388,20.0,Female,77.0,20,42,94,4,Yes,No,Postgraduate,65.03
2222,20.0,Female,58.0,15,71,58,9,Yes,Yes,Postgraduate,55.35
169,15.0,Female,79.0,14,91,56,3,Yes,No,Postgraduate,55.75
1379,20.0,Male,59.0,19,64,92,6,Yes,No,Postgraduate,57.77
2463,18.0,Female,95.0,40,81,42,2,No,Yes,Postgraduate,67.79
706,18.0,Female,98.0,5,85,54,1,Yes,Yes,Postgraduate,66.47
2077,20.0,Male,65.0,37,93,68,4,Yes,No,Postgraduate,72.2
1849,19.0,Male,73.0,33,65,91,10,Yes,Yes,Graduate,77.08
1412,20.0,Female,58.0,30,93,78,8,No,No,High School,69.78
431,19.0,Female,96.0,34,57,80,3,No,No,Graduate,70.25
2148,18.0,Female,50.0,35,48,67,3,No,Yes,Postgraduate,57.91
2493,21.0,Male,95.0,14,63,81,1,No,Yes,High School,64.33
1620,16.0,Male,85.0,27,97,94,8,Yes,Yes,Postgraduate,76.68
862,18.0,Female,89.0,30,85,83,6,No,No,High School,85.63
283,19.0,Male,,28,89,87,1,Yes,Yes,Graduate,73.04
1514,16.0,Male,86.0,3,98,91,4,No,No,Postgraduate,65.25
650,17.0,Male,70.0,21,53,85,6,No,Yes,Graduate,63.95
1076,15.0,Female,75.0,22,75,66,5,Yes,Yes,Graduate,68.2
1356,21.0,Male,98.0,14,54,44,2,No,Yes,Postgraduate,54.99
1383,16.0,Female,84.0,21,96,55,3,Yes,No,High School,66.99
1088,20.0,Female,79.0,9,49,36,1,Yes,Yes,Graduate,44.39
2143,17.0,Female,95.0,11,69,56,6,No,Yes,High School,63.79
1217,15.0,Male,63.0,16,74,66,6,No,No,High School,63.18
938,15.0,Female,92.0,10,49,66,8,Yes,Yes,Graduate,68.41
57,16.0,Female,56.0,23,82,83,9,Yes,Yes,Postgraduate,76.25
932,16.0,Female,56.0,14,48,93,10,No,Yes,Graduate,65.59
980,21.0,Female,55.0,30,75,56,3,No,Yes,Postgraduate,52.66
644,19.0,Male,74.0,22,86,49,6,Yes,No,High School,62.6
2437,15.0,Male,89.0,34,46,70,2,No,No,Graduate,48.82
45,17.0,Female,66.0,30,93,95,9,No,No,High School,92.31
1463,20.0,Male,71.0,12,56,87,3,No,Yes,High School,54.86
1201,,Male,60.0,7,80,51,10,No,Yes,Postgraduate,64.14
1778,15.0,Male,70.0,15,88,41,6,No,No,Graduate,70.48
354,17.0,Female,96.0,29,55,36,3,Yes,Yes,Postgraduate,65.53
1927,16.0,Female,55.0,23,95,40,4,No,Yes,Graduate,55.71
458,21.0,Male,58.0,22,91,57,3,Yes,No,Graduate,56.97
176,17.0,Male,93.0,13,55,46,10,No,Yes,Postgraduate,66.87
766,20.0,Female,77.0,38,82,63,1,Yes,Yes,Graduate,68.37
2151,21.0,Female,53.0,37,93,74,10,Yes,Yes,High School,76.01
480,21.0,Female,98.0,17,52,73,7,No,No,High School,76.1
1568,19.0,Female,92.0,22,88,47,7,Yes,Yes,Graduate,68.54
1318,17.0,Male,98.0,23,100,60,8,No,Yes,Graduate,80.85
1638,19.0,Female,61.0,25,95,93,1,No,No,Postgraduate,67.74
2185,16.0,Male,76.0,40,48,74,8,Yes,Yes,Graduate,73.05
809,18.0,Female,76.0,19,65,54,5,Yes,Yes,High School,59.82
1566,19.0,Female,61.0,37,71,78,8,No,No,,69.47
44,20.0,Male,96.0,30,76,52,1,No,No,Postgraduate,60.97
451,16.0,Male,96.0,26,85,69,5,Yes,No,High School,73.39
782,21.0,Female,63.0,11,100,61,6,No,Yes,High School,73.4
325,18.0,Female,75.0,6,95,38,5,Yes,No,High School,63.84
840,15.0,Female,91.0,29,71,52,8,Yes,Yes,Graduate,73.5
757,16.0,Female,51.0,25,57,36,6,No,No,Graduate,50.64
974,19.0,Female,100.0,29,73,67,8,Yes,Yes,High School,82.05
2298,21.0,Female,56.0,31,91,43,7,No,No,High School,65.82
510,18.0,Female,92.0,13,78,69,6,Yes,Yes,High School,62.94
611,18.0,Female,96.0,26,55,45,7,No,Yes,Postgraduate,64.99
621,17.0,Female,96.0,1,64,50,2,Yes,No,Graduate,49.43
2022,15.0,Male,51.0,18,59,68,2,Yes,No,High School,44.39
2059,15.0,Female,64.0,18,92,83,9,No,Yes,Graduate,79.4
1377,20.0,Female,54.0,22,68,46,1,No,No,Postgraduate,43.51
679,18.0,Male,66.0,2,97,63,9,No,Yes,Postgraduate,71.4
1358,19.0,Male,62.0,18,67,90,2,No,No,Graduate,60.57
1232,16.0,Male,90.0,23,97,68,9,No,Yes,Postgraduate,78.83
2429,15.0,Male,55.0,1,42,74,7,No,Yes,Postgraduate,45.22
2091,16.0,Male,96.0,2,66,40,9,No,Yes,Postgraduate,69.69
737,19.0,Female,50.0,26,54,79,3,No,Yes,Postgraduate,52.25
531,18.0,Female,65.0,30,96,51,4,No,Yes,Graduate,54.88
2485,16.0,Male,66.0,7,96,62,4,Yes,No,Postgraduate,61.16
481,18.0,Male,68.0,35,62,83,7,No,No,Graduate,70.56
1132,18.0,Male,56.0,9,85,69,1,No,No,Graduate,50.75
2381,21.0,Male,58.0,14,54,41,6,No,Yes,High School,47.46
970,21.0,Male,95.0,21,99,57,10,No,Yes,Graduate,91.85
2033,19.0,Female,62.0,26,48,76,8,Yes,No,High School,74.17
1400,19.0,Male,100.0,7,47,36,3,No,No,Postgraduate,54.3
802,15.0,Female,68.0,9,94,39,7,Yes,Yes,Graduate,68.53
189,17.0,Male,65.0,4,98,51,3,No,Yes,Graduate,58.8
1821,17.0,Male,69.0,22,78,47,9,No,No,Graduate,71.89
2131,21.0,Female,68.0,5,41,47,4,No,Yes,Graduate,52.5
2329,19.0,Female,54.0,23,64,42,9,Yes,No,Graduate,69.09
1972,15.0,Female,77.0,15,86,37,3,No,Yes,Graduate,50.72
252,16.0,Female,76.0,23,46,67,5,No,No,High School,50.26
260,16.0,Male,94.0,21,89,67,5,Yes,Yes,Graduate,80.86
1303,15.0,Female,100.0,6,58,71,2,Yes,Yes,High School,63.67
1678,18.0,Female,75.0,38,96,80,7,Yes,No,Graduate,77.74
1762,20.0,Female,80.0,22,56,70,8,No,No,Postgraduate,73.68
2118,16.0,Female,91.0,40,41,89,4,Yes,Yes,High School,68.67
441,17.0,Male,66.0,17,91,53,10,Yes,Yes,High School,75.52
1533,16.0,Male,70.0,11,97,85,1,No,No,High School,65.29
219,15.0,Female,57.0,19,54,47,1,No,No,High School,35.43
1079,15.0,Male,81.0,37,64,93,2,No,No,High School,72.61
1115,21.0,Male,50.0,27,86,93,8,No,No,High School,75.42
1793,19.0,Male,87.0,23,43,40,1,Yes,Yes,Postgraduate,47.12
195,17.0,Male,60.0,16,79,50,1,No,Yes,High School,57.67
2479,18.0,Male,85.0,20,75,80,5,Yes,No,Graduate,73.97
